timestamp	sensor_type	std_a_	std_yawdd_	std_laspx_	std_laspy_	std_radr_	std_radphi_	std_radrd_	Estimated px	Estimated py	Estimated vx	Estimated yaw_angle	Estimated yaw_rate	Measured px	Measured py	NIS	GT px	GT py	GT vx	GT vy	RSME px	RSME py	RSME vx	RSME vy	
24850	L	0.2	0.2	0.15	0.15	0.3	0.0175	0.1	10.6094	14.1099	-4.8215	0.000461769	0.0790731	10.468	14.0591	1.082143	10.674	14.1084	-4.80006	0.00165874	0.0840064	0.0817117	0.386232	0.302701	
24850	R	0.2	0.2	0.15	0.15	0.3	0.0175	0.1	-7.54234	10.8944	5.12048	-0.0121945	-0.0653743	-7.25987	10.6458	6.683671	-7.49981	10.9061	5.19975	0.00539029	0.0786364	0.105796	0.370086	0.407602	
24850	R	0.2	0.2	0.15	0.15	0.3	0.0175	0.1	-7.54234	10.8944	5.12048	-0.0121945	-0.0653743	-7.25987	10.6458	6.683671	-7.49981	10.9061	5.19975	0.00539029	0.0786364	0.105796	0.370086	0.407602	
24850	R	0.5	0.5	0.15	0.15	0.3	0.0175	0.1	-7.5486	10.8806	5.06652	0.00292744	0.0045189	-7.25987	10.6458	3.323851	-7.49981	10.9061	5.19975	0.00539029	0.0701073	0.0978541	0.36842	0.390609	
24850	R	1	1	0.15	0.15	0.3	0.0175	0.1	-7.58683	10.8492	4.98947	0.00729587	0.0663572	-7.25987	10.6458	2.480222	-7.49981	10.9061	5.19975	0.00539029	0.0705938	0.0975922	0.381748	0.380959	
24850	R	1.5	1.5	0.15	0.15	0.3	0.0175	0.1	-7.60399	10.8326	4.97439	0.0128135	0.10791	-7.25987	10.6458	2.196606	-7.49981	10.9061	5.19975	0.00539029	0.0739594	0.101918	0.399082	0.385278	
24850	R	2	2	0.15	0.15	0.3	0.0175	0.1	-7.60948	10.8238	4.9883	0.0184643	0.130572	-7.25987	10.6458	2.107166	-7.49981	10.9061	5.19975	0.00539029	0.0767699	0.106347	0.417872	0.398737	
24850	R	2.5	2.5	0.15	0.15	0.3	0.0175	0.1	-7.60932	10.8192	5.01169	0.0226593	0.137391	-7.25987	10.6458	2.177214	-7.49981	10.9061	5.19975	0.00539029	0.0790527	0.109847	0.436173	0.416176	
24850	R	0.25	0.25	0.15	0.15	0.3	0.03	0.3	-7.51565	10.8642	5.13598	-0.0506226	-0.135695	-7.25987	10.6458	2.761167	-7.49981	10.9061	5.19975	0.00539029	0.0697698	0.0911547	0.367809	0.203139	
24850	R	0.25	0.5	0.15	0.15	0.3	0.03	0.3	-7.51225	10.8876	5.14348	-0.0280309	-0.0938839	-7.25987	10.6458	2.214669	-7.49981	10.9061	5.19975	0.00539029	0.0628922	0.0929766	0.358051	0.194286	
24850	R	0.25	1	0.15	0.15	0.3	0.03	0.3	-7.5114	10.8964	5.14645	-0.00933562	-0.0387568	-7.25987	10.6458	1.847408	-7.49981	10.9061	5.19975	0.00539029	0.0616978	0.0957142	0.364015	0.212547	
24850	R	0.25	1.5	0.15	0.15	0.3	0.03	0.3	-7.51144	10.898	5.1473	0.000890458	0.0010762	-7.25987	10.6458	1.679251	-7.49981	10.9061	5.19975	0.00539029	0.0618681	0.0971847	0.372622	0.232257	
24850	R	0.25	2	0.15	0.15	0.3	0.03	0.3	-7.51158	10.8983	5.14778	0.00743029	0.028927	-7.25987	10.6458	1.588927	-7.49981	10.9061	5.19975	0.00539029	0.0621533	0.0981225	0.380789	0.249818	
24850	R	0.25	2.5	0.15	0.15	0.3	0.03	0.3	-7.5117	10.8983	5.14811	0.011577	0.0472738	-7.25987	10.6458	1.540780	-7.49981	10.9061	5.19975	0.00539029	0.0624256	0.0987678	0.38816	0.26538	
24850	R	0.25	3	0.15	0.15	0.3	0.03	0.3	-7.51176	10.8984	5.14836	0.0141441	0.059216	-7.25987	10.6458	1.515196	-7.49981	10.9061	5.19975	0.00539029	0.062667	0.0992348	0.394724	0.279301	
24850	R	1	1	0.15	0.15	0.3	0.03	0.3	-7.51839	10.8836	5.08565	-0.0166129	-0.0415519	-7.25987	10.6458	1.805211	-7.49981	10.9061	5.19975	0.00539029	0.068378	0.081597	0.355793	0.201983	
24850	R	1	2	0.15	0.15	0.3	0.03	0.3	-7.51796	10.8865	5.09726	0.00168029	0.0307878	-7.25987	10.6458	1.548590	-7.49981	10.9061	5.19975	0.00539029	0.068379	0.0841573	0.368634	0.234885	
24850	R	1	3	0.15	0.15	0.3	0.03	0.3	-7.51881	10.8863	5.10023	0.00923107	0.0648193	-7.25987	10.6458	1.473706	-7.49981	10.9061	5.19975	0.00539029	0.0686175	0.0855511	0.380338	0.263843	
24850	R	1.5	0.5	0.15	0.15	0.3	0.03	0.3	-7.53668	10.8648	5.01306	-0.0423373	-0.10507	-7.25987	10.6458	2.172696	-7.49981	10.9061	5.19975	0.00539029	0.0721342	0.079461	0.352681	0.198427	
24850	R	1.5	1	0.15	0.15	0.3	0.03	0.3	-7.52734	10.8789	5.05925	-0.0189509	-0.0432323	-7.25987	10.6458	1.812960	-7.49981	10.9061	5.19975	0.00539029	0.0709348	0.0815473	0.354474	0.207751	
24850	R	1.5	1.5	0.15	0.15	0.3	0.03	0.3	-7.52539	10.8822	5.07675	-0.00680902	0.00084865	-7.25987	10.6458	1.649311	-7.49981	10.9061	5.19975	0.00539029	0.0708647	0.0830022	0.360263	0.223239	
